time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),dew_point_2m (°C)
2025-04-01 0:00,17,95,4.8,0.5,4.4,16.9,16.1
2025-04-01 1:00,16.6,95,4.2,7.2,16.7,19.8,15.8
2025-04-01 2:00,16,97,5.8,9.7,18.8,18.7,15.5
2025-04-01 3:00,15.8,97,3.9,5.2,14.9,19.8,15.2
2025-04-01 4:00,15.4,97,2.2,5.6,13.8,10.4,14.9
2025-04-01 5:00,15.1,97,2.4,10.8,22.2,19.4,14.6
2025-04-01 6:00,11.4,89,1.4,25.5,40.4,49.3,9.7
2025-04-01 7:00,9.1,87,0.1,18,31,49.3,7
2025-04-01 8:00,7.6,76,0,17.2,29.1,39.2,3.5
2025-04-01 9:00,6.6,68,0,14.4,23.4,33.8,1.2
2025-04-01 10:00,5.1,63,0,18,28.8,38.2,-1.5
2025-04-01 11:00,4,64,0,18.4,30.5,39.2,-2.2
2025-04-01 12:00,4.2,62,0,16.2,25.5,38.2,-2.5
2025-04-01 13:00,5.5,60,0,19.5,29.3,42.8,-1.6
2025-04-01 14:00,6.4,56,0,20.4,30.3,45.7,-1.6
2025-04-01 15:00,7.5,53,0,18.9,27.7,46.1,-1.5
2025-04-01 16:00,8.6,48,0,17.7,25.8,43.6,-1.7
2025-04-01 17:00,9.6,45,0,17.4,25.1,42.5,-1.6
2025-04-01 18:00,10.6,41,0,17.7,25.7,42.1,-2
2025-04-01 19:00,11.1,40,0,17.1,24.8,42.1,-2.2
2025-04-01 20:00,11.2,38,0,16.1,23.5,40,-2.5
2025-04-01 21:00,11,37,0,15.4,22.8,37.4,-3.2
2025-04-01 22:00,10.2,39,0,13.8,21.4,34.6,-3.2
2025-04-01 23:00,8.8,45,0,10.4,20.4,28.8,-2.5
2025-04-02 0:00,7.1,51,0,9.4,21.4,21.2,-2.5
2025-04-02 1:00,6.9,52,0,9.3,21.9,15.8,-2.2
2025-04-02 2:00,5.8,50,0,11.2,25,20.9,-3.9
2025-04-02 3:00,5,50,0,12.4,26.5,23.8,-4.7
